"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"156298","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario at Port Weller","43.265989","-79.131992","Map derived","Accurate","Lake Ontario","04280002","1992","10","","established","Collected from navigational buoys.","Literature","","","Freshwater","9084","Journal Article","1993","Mills, E.L., R.M. Dermott, E.F. Roseman, D. Dustin, E. Mellina, D.B. Conn, and A.P. Spidle","Colonization, ecology, and population structure of the quagga mussel (Bivalvia: Dreissenidae) in the lower Great Lakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156288","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie at Port Stanley, (3 km offshore)","42.631938","-81.215057","Map derived","Accurate","Lake Erie","04260000","1992","10","","established","Collected from navigational buoys.","Literature","","","Freshwater","9084","Journal Article","1993","Mills, E.L., R.M. Dermott, E.F. Roseman, D. Dustin, E. Mellina, D.B. Conn, and A.P. Spidle","Colonization, ecology, and population structure of the quagga mussel (Bivalvia: Dreissenidae) in the lower Great Lakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156296","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie at Port Colborne, (5 km offshore)","42.831667","-79.241638","Map derived","Accurate","Lake Erie","04260000","1992","10","","established","Collected from navigational buoys.","Literature","","","Freshwater","9084","Journal Article","1993","Mills, E.L., R.M. Dermott, E.F. Roseman, D. Dustin, E. Mellina, D.B. Conn, and A.P. Spidle","Colonization, ecology, and population structure of the quagga mussel (Bivalvia: Dreissenidae) in the lower Great Lakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156286","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (Inshore) at Port Stanley","42.657823","-81.213169","Map derived","Accurate","Lake Erie","04260000","1992","10","","established","Collected from navigational buoys.","Literature","","","Freshwater","9084","Journal Article","1993","Mills, E.L., R.M. Dermott, E.F. Roseman, D. Dustin, E. Mellina, D.B. Conn, and A.P. Spidle","Colonization, ecology, and population structure of the quagga mussel (Bivalvia: Dreissenidae) in the lower Great Lakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156294","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (Inshore) at Port Colborne","42.875461","-79.260864","Map derived","Accurate","Lake Erie","04260000","1992","10","","established","Collected from navigational buoys.","Literature","","","Freshwater","9084","Journal Article","1993","Mills, E.L., R.M. Dermott, E.F. Roseman, D. Dustin, E. Mellina, D.B. Conn, and A.P. Spidle","Colonization, ecology, and population structure of the quagga mussel (Bivalvia: Dreissenidae) in the lower Great Lakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116844","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern), Nanticoke Generating Station buoy EN9","42.7700004578","-80.0597000122","Map derived","Accurate","Lake Erie","04260000","1992","12","","established","","Literature","","","Freshwater","26189","Report","1993","Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.","Fisheries and Oceans Canada","Burlington, Ontario","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116977","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, (Main Channel) buoy D76","45.023601532","-74.6446990967","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1991","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116978","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, Lake St. Francis, buoy D63","45.0407981873","-74.6003036499","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1991","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156238","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy KN8 at Bath Point (North Channel)(eastern basin)","44.1776008606","-76.7683029175","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156227","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy EA2 at Cassady Point (eastern basin)","42.8400001526","-79.2369003296","reported","Accurate","Lake Erie","04260000","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156228","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy EU2 at Middle Reefs (eastern basin)","42.8788986206","-78.9210968018","reported","Accurate","Lake Erie","04260000","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156229","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy W at Port Weller Light","43.2803001404","-79.2132034302","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156230","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy H at Burlington Canal entrance","43.3097000122","-79.7746963501","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156231","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy TT3 at West Entrance north side Toronto Harbour","43.6277999878","-79.408203125","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156223","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy EA6 at Tecumseh Reef (eastern basin)","42.7942008972","-79.7244033813","reported","Accurate","Lake Erie","04260000","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156224","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy EA4 at Mohawk Island (eastern basin)","42.8135986328","-79.5171966553","reported","Accurate","Lake Erie","04260000","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156225","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy E at Port Colborne (eastern basin)","42.8231010437","-79.2827987671","reported","Accurate","Lake Erie","04260000","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156226","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy E3 at Port Colborne (eastern basin)","42.8616981506","-79.2533035278","reported","Accurate","Lake Erie","04260000","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156202","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, Lake St. Francis, buoy D28","45.1549987793","-74.3731002808","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116981","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, Lake St. Francis, buoy D52","45.0643997192","-74.5286026001","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1991","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156176","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern), Nanticoke Generating Station buoy EN7","42.7578010559","-80.0764007568","Map derived","Accurate","Lake Erie","04260000","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117214","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy T7 at Outer Harbour of Toronto Harbour","43.6309013367","-79.3491973877","reported","Accurate","Lake Ontario","04280002","1993","12","","established","Wormington, A., C.A. Timmins, H. Johnston, and R.M. Dermott. 1995. Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes, December 1993. Canadian Manuscript Report of Fisheries and Aquatic Sciences No. 2281","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116902","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River (Main Channel), Clark Island buoy D69","45.0466995239","-74.5655975342","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Literature","","","Freshwater","26189","Report","1993","Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.","Fisheries and Oceans Canada","Burlington, Ontario","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116900","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River (Main Channel), Clark Island buoy D73","45.0428009033","-74.5744018555","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Literature","","","Freshwater","26189","Report","1993","Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.","Fisheries and Oceans Canada","Burlington, Ontario","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156209","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Coast Guard buoy ET14 at Stelco Wharf Approach (eastern basin)","42.7844","-80.0758","reported","Accurate","Lake Erie","04260000","1993","12","","established","Only quaggas at this buoy.","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116974","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, (Main Channel) buoy 80","44.8422012329","-75.3050003052","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1991","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116942","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, Lake St. Francis, buoy D14","45.2127990723","-74.2874984741","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Literature","","","Freshwater","26189","Report","1993","Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.","Fisheries and Oceans Canada","Burlington, Ontario","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116940","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, Lake St. Francis, buoy D18","45.2085990906","-74.2983016968","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Literature","","","Freshwater","26189","Report","1993","Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.","Fisheries and Oceans Canada","Burlington, Ontario","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156151","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Site 9, Long Point Bay, approx. 30 km offshore of the Nanticoke Generating Station","42.6767","-79.99667","reported","Accurate","Lake Erie","04260000","1994","5","26","established","Collections taken from: 5/24/1994 - 10/6/1994.","Literature","","","Freshwater","13247","Journal Article","1998","Claxton, W.T., and G.L. Mackie","Seasonal and depth variations in gametogenesis and spawning of Dreissena polymorpha and Dreissena bugensis in eastern Lake Erie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156149","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie, Site 7, Long Point Bay, approx. 30 km south of the Nanticoke Generating Station","42.625","-80.08","reported","Accurate","Lake Erie","04260000","1994","5","26","established","Collections taken from: 5/24/1994 - 10/6/1994.","Literature","","","Freshwater","13247","Journal Article","1998","Claxton, W.T., and G.L. Mackie","Seasonal and depth variations in gametogenesis and spawning of Dreissena polymorpha and Dreissena bugensis in eastern Lake Erie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116852","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern), Nanticoke Generating Station buoy EN14","42.7839012146","-80.0378036499","Map derived","Accurate","Lake Erie","04260000","1992","12","","established","","Literature","","","Freshwater","26189","Report","1993","Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.","Fisheries and Oceans Canada","Burlington, Ontario","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156244","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy M6 at South Charity Shoal (eastern basin)","44.0208015442","-76.5139007568","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156245","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy K10 at Emeric Point (eastern basin)","44.1006011963","-76.6482009888","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156190","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D49","45.1018981934","-74.484703064","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156191","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D48","45.1058006287","-74.4841995239","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156192","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D47","45.1068992615","-74.4792022705","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156193","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D43","45.1222000122","-74.4543991089","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156127","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie at Nanticoke, Ontario","42.790362","-80.048447","Map derived","Accurate","Lake Erie","04260000","1994","","","established","","Specimen","Royal Ontario Museum","ROMIZ M8683","Freshwater","13239","Journal Article","1999","Ackerman, J.D.","Effect of velocity on the filter feeding of dreissenid mussels <em>(Dreissena polymorpha and Dreissena bugensis)</em>: implications for trophic dynamics.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156112","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Niagara River at Niagara","43.264615","-79.076901","Map derived","Accurate","Lake Ontario","04280002","1991","","","established","","Literature","","","Freshwater","9082","Journal Article","1992","May, B., and J.E. Marsden","Genetic identification and implications of another invasive species of dreissenid mussel in the Great Lakes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156177","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern), Nanticoke Generating Station buoy EN8","42.7433013916","-80.0960998535","Map derived","Accurate","Lake Erie","04260000","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156178","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern), Tecumseh Reef buoy EA6","42.7942008972","-79.7244033813","Map derived","Accurate","Lake Erie","04260000","1992","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116975","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","St. Lawrence River, (Main Channel) buoy 78","44.9094009399","-75.1436004639","Map derived","Accurate","Raisin River-St. Lawrence River","04290008","1991","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156250","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy KH2 at Point Frederick (Kingston Harbour)","44.2235984802","-76.471496582","reported","Accurate","Headwaters St. Lawrence River","04290001","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156251","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Ontario, Coast Guard buoy MV4 at Oshawa Harbour","43.8568992615","-78.8153991699","reported","Accurate","Lake Ontario","04280002","1993","12","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156253","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","Canada","ON","","Lake Erie (eastern basin), Shallow (8m)","42.827639","-78.892822","Map derived","Approximate","Lake Erie","04260000","1992","10","","established","Collections were taken from 10/1992 - early 11/1992.","Literature","","","Freshwater","9084","Journal Article","1993","Mills, E.L., R.M. Dermott, E.F. Roseman, D. Dustin, E. Mellina, D.B. Conn, and A.P. Spidle","Colonization, ecology, and population structure of the quagga mussel (Bivalvia: Dreissenidae) in the lower Great Lakes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
